referrer,views_total,views_unique
github.com,871,27
Google,219,48
superduperdb.com,143,35
join.com,38,6
com.google.android.gm,37,2
staging.d3rw8vtufdccov.amplifyapp.com,20,5
linkedin.com,9,5
superduperdb.github.io,4,2
l.facebook.com,2,2
mail.google.com,2,2
