time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-14 00:00:00+00:00,36,3,661.0,41.0
2023-11-15 00:00:00+00:00,62,5,855.0,43.0
2023-11-16 00:00:00+00:00,109,8,808.0,63.0
2023-11-17 00:00:00+00:00,94,10,868.0,42.0
2023-11-18 00:00:00+00:00,9,4,154.0,29.0
2023-11-19 00:00:00+00:00,6,4,82.0,25.0
2023-11-20 00:00:00+00:00,30,3,639.0,95.0
2023-11-21 00:00:00+00:00,66,7,660.0,65.0
2023-11-22 00:00:00+00:00,43,7,807.0,45.0
2023-11-23 00:00:00+00:00,29,5,355.0,54.0
2023-11-24 00:00:00+00:00,80,13,582.0,38.0
2023-11-25 00:00:00+00:00,22,9,229.0,34.0
2023-11-26 00:00:00+00:00,11,6,125.0,26.0
2023-11-27 00:00:00+00:00,32,13,407.0,47.0
2023-11-28 00:00:00+00:00,1,1,,
