referrer,views_total,views_unique
github.com,601,39
Google,297,51
linkedin.com,113,57
superduperdb.com,107,37
join.com,55,20
com.linkedin.android,37,20
staging.d3rw8vtufdccov.amplifyapp.com,19,4
com.google.android.gm,13,3
main.d2l77gn2mgt8ek.amplifyapp.com,8,4
m.facebook.com,7,1
