referrer,views_total,views_unique
github.com,888,73
superduperdb.com,424,87
Google,203,73
linkedin.com,158,94
com.google.android.gm,53,2
news.ycombinator.com,47,37
t.co,43,33
join.com,42,10
away.vk.com,29,10
mongodb.com,26,6
