referrer,views_total,views_unique
github.com,890,28
Google,269,64
linkedin.com,116,59
superduperdb.com,92,41
com.linkedin.android,37,20
join.com,35,9
staging.d3rw8vtufdccov.amplifyapp.com,35,6
superduperdb.github.io,6,3
com.google.android.gm,6,2
Bing,4,1
