referrer,views_total,views_unique
github.com,305,28
Google,144,32
superduperdb.com,123,33
join.com,28,18
main.d2l77gn2mgt8ek.amplifyapp.com,8,4
m.facebook.com,7,1
linkedin.com,5,1
mail.google.com,4,3
wellfound.com,3,3
com.google.android.gm,3,2
