referrer,views_total,views_unique
github.com,600,41
superduperdb.com,507,57
Google,301,70
bleqq.r.a.d.sendibm1.com,119,115
linkedin.com,40,25
mail.google.com,31,7
join.com,23,6
com.google.android.gm,23,5
com.linkedin.android,19,7
search.brave.com,15,3
