referrer,views_total,views_unique
github.com,841,24
Google,278,47
superduperdb.com,83,29
staging.d3rw8vtufdccov.amplifyapp.com,38,6
join.com,35,9
com.google.android.gm,35,1
linkedin.com,9,5
superduperdb.github.io,6,3
Bing,4,1
l.facebook.com,2,2
