referrer,views_total,views_unique
github.com,655,26
Google,204,39
superduperdb.com,169,36
com.google.android.gm,42,3
join.com,41,7
linkedin.com,9,5
staging.d3rw8vtufdccov.amplifyapp.com,5,2
mail.google.com,3,3
superduperdb.github.io,2,1
DuckDuckGo,1,1
