referrer,views_total,views_unique
github.com,555,61
superduperdb.com,267,62
Google,155,44
t.co,109,57
medium.com,60,1
mail.google.com,59,2
devrelcareers.com,33,2
linkedin.com,31,18
join.com,23,6
us2.campaign-archive.com,13,1
