referrer,views_total,views_unique
github.com,682,68
Google,253,55
superduperdb.com,248,72
t.co,113,62
medium.com,60,1
mail.google.com,59,2
linkedin.com,54,33
devrelcareers.com,31,2
join.com,25,6
away.vk.com,17,3
