time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-25 00:00:00+00:00,69.0,5.0,451,39
2023-09-26 00:00:00+00:00,80.0,9.0,672,34
2023-09-27 00:00:00+00:00,114.0,9.0,569,54
2023-09-28 00:00:00+00:00,66.0,9.0,698,47
2023-09-29 00:00:00+00:00,88.0,14.0,707,63
2023-09-30 00:00:00+00:00,9.0,5.0,108,28
2023-10-01 00:00:00+00:00,54.0,9.0,211,21
2023-10-02 00:00:00+00:00,92.0,12.0,667,35
2023-10-03 00:00:00+00:00,89.0,11.0,631,48
2023-10-04 00:00:00+00:00,81.0,20.0,791,61
2023-10-05 00:00:00+00:00,174.0,18.0,880,69
2023-10-06 00:00:00+00:00,253.0,11.0,705,55
2023-10-07 00:00:00+00:00,19.0,5.0,246,27
2023-10-08 00:00:00+00:00,24.0,7.0,216,23
2023-10-09 00:00:00+00:00,,,3,1
