time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-29 00:00:00+00:00,136,5,661,34
2023-08-30 00:00:00+00:00,81,5,532,40
2023-08-31 00:00:00+00:00,154,8,378,25
2023-09-01 00:00:00+00:00,39,8,393,24
2023-09-02 00:00:00+00:00,38,6,318,13
2023-09-03 00:00:00+00:00,17,5,107,7
2023-09-04 00:00:00+00:00,277,14,732,26
2023-09-05 00:00:00+00:00,102,6,501,27
2023-09-06 00:00:00+00:00,97,9,430,26
2023-09-07 00:00:00+00:00,172,11,601,27
2023-09-08 00:00:00+00:00,232,17,451,22
2023-09-09 00:00:00+00:00,5,2,129,15
2023-09-10 00:00:00+00:00,27,3,304,21
2023-09-11 00:00:00+00:00,269,16,793,32
