referrer,views_total,views_unique
github.com,726,44
superduperdb.com,591,62
Google,323,71
linkedin.com,40,23
wellfound.com,30,5
join.com,27,7
mail.google.com,27,6
com.linkedin.android,19,7
dynamitejobs.com,18,11
com.google.android.gm,17,5
