referrer,views_total,views_unique
github.com,670,39
Google,317,53
superduperdb.com,117,40
linkedin.com,113,57
join.com,57,22
com.linkedin.android,37,20
staging.d3rw8vtufdccov.amplifyapp.com,19,4
com.google.android.gm,13,3
main.d2l77gn2mgt8ek.amplifyapp.com,8,4
m.facebook.com,7,1
