time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-27 00:00:00+00:00,52,5,833,74
2023-10-28 00:00:00+00:00,17,6,322,112
2023-10-29 00:00:00+00:00,23,7,730,239
2023-10-30 00:00:00+00:00,101,7,1152,144
2023-10-31 00:00:00+00:00,107,6,768,95
2023-11-01 00:00:00+00:00,102,7,851,83
2023-11-02 00:00:00+00:00,71,11,676,154
2023-11-03 00:00:00+00:00,44,8,908,95
2023-11-04 00:00:00+00:00,23,8,259,52
2023-11-05 00:00:00+00:00,11,6,155,36
2023-11-06 00:00:00+00:00,43,13,716,157
2023-11-07 00:00:00+00:00,109,9,1763,116
2023-11-08 00:00:00+00:00,50,12,941,89
2023-11-09 00:00:00+00:00,69,6,668,64
