time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-01 00:00:00+00:00,38,7,208,21
2023-10-02 00:00:00+00:00,92,12,667,35
2023-10-03 00:00:00+00:00,89,11,631,48
2023-10-04 00:00:00+00:00,81,20,791,61
2023-10-05 00:00:00+00:00,174,18,880,69
2023-10-06 00:00:00+00:00,253,11,705,55
2023-10-07 00:00:00+00:00,19,5,246,27
2023-10-08 00:00:00+00:00,24,7,216,23
2023-10-09 00:00:00+00:00,80,16,690,63
2023-10-10 00:00:00+00:00,128,22,1272,105
2023-10-11 00:00:00+00:00,53,3,544,52
2023-10-12 00:00:00+00:00,143,5,655,38
2023-10-13 00:00:00+00:00,138,8,677,44
2023-10-14 00:00:00+00:00,46,7,188,24
