referrer,views_total,views_unique
github.com,712,73
Google,233,58
superduperdb.com,209,67
t.co,114,65
linkedin.com,54,33
mail.google.com,42,1
join.com,35,7
news.ycombinator.com,34,27
devrelcareers.com,31,2
away.vk.com,29,10
