time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-20 00:00:00+00:00,45,4,647,75
2023-09-21 00:00:00+00:00,139,12,590,98
2023-09-22 00:00:00+00:00,8,3,346,66
2023-09-23 00:00:00+00:00,11,4,234,27
2023-09-24 00:00:00+00:00,20,7,186,24
2023-09-25 00:00:00+00:00,75,6,457,41
2023-09-26 00:00:00+00:00,80,9,672,34
2023-09-27 00:00:00+00:00,114,9,569,54
2023-09-28 00:00:00+00:00,66,9,698,47
2023-09-29 00:00:00+00:00,88,14,707,63
2023-09-30 00:00:00+00:00,9,5,108,28
2023-10-01 00:00:00+00:00,54,9,211,21
2023-10-02 00:00:00+00:00,92,12,667,35
2023-10-03 00:00:00+00:00,89,11,631,48
