time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-29 00:00:00+00:00,17.0,6.0,692,218
2023-10-30 00:00:00+00:00,101.0,7.0,1152,144
2023-10-31 00:00:00+00:00,107.0,6.0,768,95
2023-11-01 00:00:00+00:00,102.0,7.0,851,83
2023-11-02 00:00:00+00:00,71.0,11.0,676,154
2023-11-03 00:00:00+00:00,44.0,8.0,908,95
2023-11-04 00:00:00+00:00,23.0,8.0,259,52
2023-11-05 00:00:00+00:00,11.0,6.0,155,36
2023-11-06 00:00:00+00:00,43.0,13.0,716,157
2023-11-07 00:00:00+00:00,109.0,9.0,1763,116
2023-11-08 00:00:00+00:00,50.0,12.0,941,89
2023-11-09 00:00:00+00:00,69.0,6.0,668,64
2023-11-10 00:00:00+00:00,88.0,7.0,786,56
2023-11-11 00:00:00+00:00,22.0,9.0,360,70
2023-11-12 00:00:00+00:00,,,16,1
