referrer,views_total,views_unique
news.ycombinator.com,1091,779
github.com,669,67
superduperdb.com,488,130
bleqq.r.a.d.sendibm1.com,254,187
Google,216,81
producthunt.com,204,135
linkedin.com,125,75
dev.to,54,37
l.facebook.com,40,20
com.linkedin.android,38,22
