referrer,views_total,views_unique
github.com,728,74
superduperdb.com,241,72
Google,237,61
t.co,114,65
medium.com,60,1
mail.google.com,59,2
linkedin.com,55,34
news.ycombinator.com,34,27
devrelcareers.com,31,2
away.vk.com,29,10
