referrer,views_total,views_unique
github.com,446,45
superduperdb.com,432,55
Google,172,54
bleqq.r.a.d.sendibm1.com,122,118
linkedin.com,64,38
com.google.android.gm,21,3
search.brave.com,15,3
mail.google.com,14,4
com.linkedin.android,12,9
join.com,11,6
