referrer,views_total,views_unique
github.com,404,23
Google,173,32
superduperdb.com,120,29
pypi.org,17,2
join.com,15,13
main.d2l77gn2mgt8ek.amplifyapp.com,7,3
linkedin.com,5,1
wellfound.com,3,3
visgl.github.io,2,1
com.google.android.gm,2,1
