referrer,views_total,views_unique
github.com,342,24
Google,175,32
superduperdb.com,121,32
pypi.org,17,2
join.com,16,14
main.d2l77gn2mgt8ek.amplifyapp.com,8,4
linkedin.com,5,1
mail.google.com,4,3
wellfound.com,3,3
com.google.android.gm,3,2
