referrer,views_total,views_unique
github.com,678,30
superduperdb.com,322,48
Google,310,46
join.com,62,10
linkedin.com,40,27
com.google.android.gm,10,3
com.linkedin.android,4,4
medium.com,2,2
mail.google.com,2,2
DuckDuckGo,2,2
