time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-12 00:00:00+00:00,1.0,1.0,148,46
2023-11-13 00:00:00+00:00,56.0,7.0,595,54
2023-11-14 00:00:00+00:00,41.0,5.0,684,47
2023-11-15 00:00:00+00:00,62.0,5.0,855,43
2023-11-16 00:00:00+00:00,109.0,8.0,808,63
2023-11-17 00:00:00+00:00,94.0,10.0,868,42
2023-11-18 00:00:00+00:00,9.0,4.0,154,29
2023-11-19 00:00:00+00:00,6.0,4.0,82,25
2023-11-20 00:00:00+00:00,30.0,3.0,639,95
2023-11-21 00:00:00+00:00,66.0,7.0,660,65
2023-11-22 00:00:00+00:00,43.0,7.0,807,45
2023-11-23 00:00:00+00:00,29.0,5.0,355,54
2023-11-24 00:00:00+00:00,80.0,13.0,582,38
2023-11-25 00:00:00+00:00,22.0,9.0,229,34
2023-11-26 00:00:00+00:00,,,7,1
