referrer,views_total,views_unique
github.com,779,24
Google,226,50
superduperdb.com,86,31
staging.d3rw8vtufdccov.amplifyapp.com,35,6
join.com,33,7
com.google.android.gm,27,1
linkedin.com,7,6
superduperdb.github.io,6,3
Bing,4,1
l.facebook.com,2,2
