referrer,views_total,views_unique
github.com,806,69
superduperdb.com,268,69
Google,241,68
t.co,112,69
linkedin.com,97,57
com.google.android.gm,44,1
join.com,39,8
news.ycombinator.com,32,26
away.vk.com,29,10
mongodb.com,26,6
