time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-06 00:00:00+00:00,96,8,430,26
2023-09-07 00:00:00+00:00,172,11,601,27
2023-09-08 00:00:00+00:00,232,17,451,22
2023-09-09 00:00:00+00:00,5,2,129,15
2023-09-10 00:00:00+00:00,27,3,304,21
2023-09-11 00:00:00+00:00,269,16,798,33
2023-09-12 00:00:00+00:00,208,15,752,34
2023-09-13 00:00:00+00:00,245,18,1083,46
2023-09-14 00:00:00+00:00,109,12,623,51
2023-09-15 00:00:00+00:00,97,9,728,31
2023-09-16 00:00:00+00:00,20,3,151,10
2023-09-17 00:00:00+00:00,51,13,338,26
2023-09-18 00:00:00+00:00,130,10,1146,52
2023-09-19 00:00:00+00:00,175,19,771,78
