referrer,views_total,views_unique
github.com,563,45
superduperdb.com,501,53
Google,292,68
bleqq.r.a.d.sendibm1.com,122,118
linkedin.com,38,23
join.com,23,7
com.google.android.gm,22,5
com.linkedin.android,20,8
mail.google.com,20,6
search.brave.com,16,3
