time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,26,5,187,23
2023-10-15 00:00:00+00:00,6,2,68,18
2023-10-16 00:00:00+00:00,96,10,813,36
2023-10-17 00:00:00+00:00,45,14,479,52
2023-10-18 00:00:00+00:00,62,9,730,156
2023-10-19 00:00:00+00:00,76,8,400,39
2023-10-20 00:00:00+00:00,38,4,282,43
2023-10-21 00:00:00+00:00,16,2,146,21
2023-10-22 00:00:00+00:00,17,3,208,17
2023-10-23 00:00:00+00:00,62,6,283,35
2023-10-24 00:00:00+00:00,61,5,270,44
2023-10-25 00:00:00+00:00,74,6,560,72
2023-10-26 00:00:00+00:00,42,11,711,70
2023-10-27 00:00:00+00:00,58,6,857,76
