time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-05 00:00:00+00:00,150,15,805.0,69.0
2023-10-06 00:00:00+00:00,253,11,705.0,55.0
2023-10-07 00:00:00+00:00,19,5,246.0,27.0
2023-10-08 00:00:00+00:00,24,7,216.0,23.0
2023-10-09 00:00:00+00:00,80,16,690.0,63.0
2023-10-10 00:00:00+00:00,128,22,1272.0,105.0
2023-10-11 00:00:00+00:00,53,3,544.0,52.0
2023-10-12 00:00:00+00:00,143,5,655.0,38.0
2023-10-13 00:00:00+00:00,138,8,677.0,44.0
2023-10-14 00:00:00+00:00,46,7,188.0,24.0
2023-10-15 00:00:00+00:00,6,2,68.0,18.0
2023-10-16 00:00:00+00:00,96,10,813.0,36.0
2023-10-17 00:00:00+00:00,45,14,479.0,52.0
2023-10-18 00:00:00+00:00,62,9,730.0,156.0
2023-10-19 00:00:00+00:00,10,4,,
