referrer,views_total,views_unique
github.com,672,26
Google,199,45
superduperdb.com,188,41
com.google.android.gm,39,3
join.com,38,6
linkedin.com,8,4
staging.d3rw8vtufdccov.amplifyapp.com,6,2
mail.google.com,3,3
superduperdb.github.io,3,1
l.facebook.com,2,2
