referrer,views_total,views_unique
github.com,834,27
Google,204,49
superduperdb.com,150,39
join.com,38,6
com.google.android.gm,37,2
staging.d3rw8vtufdccov.amplifyapp.com,17,4
linkedin.com,8,4
superduperdb.github.io,4,2
l.facebook.com,2,2
mail.google.com,2,2
